dataset,sample_id,modal,natoms,case,repeat_idx,timing_ms,resolved_policy,n_warmup,n_repeat,device
ani1ccx,055:0,spice,55,sevennet_baseline,0,32.25834388285875,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,1,32.04319113865495,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,2,31.93790395744145,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,3,31.839939998462796,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,4,31.87290020287037,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,5,32.122917007654905,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,6,31.547002959996462,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,7,31.357636908069253,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,8,31.311889877542853,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,9,31.2897979747504,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,10,31.3272001221776,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,11,31.460246071219444,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,12,31.443865969777107,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,13,31.287060119211674,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,14,31.423944048583508,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,15,31.58053499646485,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,16,31.240592012181878,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,17,31.257495982572436,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,18,31.56037302687764,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,19,31.290086917579174,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,20,31.40172502025962,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,21,31.59534395672381,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,22,31.199321849271655,baseline,3,30,cuda
ani1ccx,055:0,spice,55,sevennet_baseline,23,31.614339910447598,baseline,3,30,cuda
